,qtd_filhos,idade,tempo_emprego,possui_celular,possui_fone_comercial,possui_fone,possui_email,qt_pessoas_residencia,mau,sexo_M,posse_de_veiculo_Y,posse_de_imovel_Y,tipo_renda_Commercial associate,tipo_renda_Pensioner,tipo_renda_State servant,tipo_renda_Student,tipo_renda_Working,educacao_Academic degree,educacao_Higher education,educacao_Incomplete higher,educacao_Lower secondary,educacao_Secondary / secondary special,estado_civil_Civil marriage,estado_civil_Married,estado_civil_Separated,estado_civil_Single / not married,estado_civil_Widow,tipo_residencia_Co-op apartment,tipo_residencia_House / apartment,tipo_residencia_Municipal apartment,tipo_residencia_Office apartment,tipo_residencia_Rented apartment,tipo_residencia_With parents
0,0,58.83287671232877,3.106849315068493,1,0,0,0,2.0,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
1,0,52.35616438356164,8.35890410958904,1,0,1,1,1.0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
2,0,46.224657534246575,2.106849315068493,1,1,1,1,2.0,False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
3,0,29.23013698630137,3.021917808219178,1,0,0,0,2.0,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
4,0,27.48219178082192,4.024657534246575,1,0,1,0,2.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
5,1,30.04931506849315,4.438356164383562,1,0,0,0,2.0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
6,3,34.76438356164383,3.186301369863014,1,0,0,0,5.0,False,True,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
7,1,32.443835616438356,5.523287671232877,1,0,0,0,3.0,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
8,0,56.16986301369863,12.191780821917808,1,0,1,0,2.0,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
9,2,43.18082191780822,8.693150684931506,1,0,0,0,4.0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
10,1,44.416438356164385,19.44931506849315,1,0,0,0,3.0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
11,2,34.0027397260274,4.857534246575343,1,0,0,1,4.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
12,0,55.3041095890411,-1000.6657534246576,1,0,0,0,1.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
13,0,46.61917808219178,3.6904109589041094,1,0,0,0,1.0,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
14,0,42.51780821917808,8.860273972602739,1,0,0,0,1.0,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
15,0,37.37534246575343,13.276712328767124,1,0,1,0,2.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
16,1,28.27671232876712,7.693150684931507,1,0,0,0,3.0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
17,0,48.726027397260275,4.69041095890411,1,0,0,0,2.0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
18,0,43.90958904109589,2.4356164383561643,1,0,1,0,2.0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
19,0,61.14794520547945,-1000.6657534246576,1,0,0,0,2.0,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
20,0,45.43013698630137,3.271232876712329,1,1,1,0,1.0,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
21,0,51.85205479452055,17.194520547945206,1,1,1,0,2.0,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
22,2,42.31232876712329,8.526027397260274,1,0,0,1,4.0,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
23,0,54.413698630136984,29.706849315068492,1,0,0,1,2.0,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
24,0,51.18356164383562,-1000.6657534246576,1,0,0,0,2.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
25,2,30.12876712328767,6.271232876712329,1,0,0,1,4.0,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
